ID,Text,Valence,Arousal
T0011,雖然這樣的行為顯得無情且冷漠，但不了解他人狀況時不能用自己的立場去設想然後強壓自己的想法在他人身上。,4.25,4.625
T0012,自己並沒有很了解病人家裡的狀況，包括病人家屬之間的相處模式或家裡可能發生過的事情。,4.875,2.75
T0013,但後來在冷靜下來後，我反思整體情況。,5.25,2.3
T0014,我將我自己的情緒帶入目前的狀況，設想著這是一個多麼過分的行為，也為在急救中的病人感到可憐，如果我臨終前是這樣的狀況我一定會無比的難過和痛苦。,3.2,5.7
T0015,當下我的反應是生氣的，覺得病人都已經在急救了，而家屬竟然無動於衷，只想著要回家。,2.6,7.375
T0016,在急救到一半狀況都尚未穩定時，家屬詢問護理師學姊自己可否先行回家，因為家屬家在屏東，怕再晚就沒有交通工具。,4.5,2.25
T0017,病人家屬似乎由於某些與本次急救無關的因素在ICU外頭等待，且已經等候一陣。,4.875,2.0
T0018,夜間值班約11點時，一名病人因為cardiac tamponade而血壓低造成shock，CR學長緊急做tapping試圖搶救。,3.5,6.75
T0019,有新的認知或體認了嗎:老師說在加護病房偶爾都會遇到病患和家屬意見不同的狀況，如果病患是昏迷沒有意識當然就是直接由家屬來決定，但像這個病人意識清楚但是沒辦法表達的情況是會比較困擾一點，但我想我應該也先了解家屬以及病患雙方對於維生裝置贊同或是反對的理由是什麼，而不應該以我個人主觀的經驗和想法去代入別人的人生，沒有一個人會很樂意看著自己親愛的家人痛苦的靠著呼吸器生活，一開始違背病人意願下決定肯定也是非常煎熬的，所幸經過多次的溝通後大家能夠有一個共識。,6.375,4.0
T0020,"另外發現什麼,或是觀點不同了:後來經過老師多次的和家屬和病患溝通，有嘗試用是非題、寫字或是拿平板點字的方式讓病患表達他的想法，後來才了解病患是擔心會拖累家裡面的人，而他妻子也一直和他說她可以好好照顧他，他這個樣子回家也不會拖累他們的家庭狀況，經過多次的溝通與理解後，病患最終也同意願意做氣切來維持呼吸。",4.7,5.75
T0021,可能發生什麼事: 家屬可能認為病人才六十幾歲還很年輕，而且小孩才剛出社會工作沒多久，如果就這樣離開了很可惜，看不到自己小孩成家立業的樣子，而他老婆也只剩自己一個人，因此病患家屬可能捨不得他的離開。,3.5,3.9
T0022,或許是因為這樣，所以當我看著病人沒辦法清楚表達意願，而家屬明明就知道病人之前有不想插管氣切的想法，卻還是猶豫不絕的時候，我才會有這些感受。,4.1,3.0
T0023,我的先入為主如何影響感受:因為我本身是希望未來當我出意外的時候，如果急救回來會需要呼吸器維持，或是可能會癱瘓無法自主行動的話，我會希望就不要幫我急救了。,3.375,4.875
T0024,因為即便是之前意識狀態清楚的時候有表達過自己的意願，但等到自己沒辦法清楚表達時，還是得詢問家屬的意願來決定，而已經被插管的當下也沒辦法表達自己的想法。,4.125,2.75
T0025,我當下感到很多的無奈。,3.75,4.3
T0026,我的情緒為何?,4.875,1.75
T0027,具體發生什麼事:有一位病人因為插管的時間快要兩週了，和家屬討論要不要做氣切，家屬一直沒辦法決定說等遇到再看看，最後在老師的溝通解釋下終於願意一起討論這個問題，之前病患有提過不願意插管，當初認為拼一次看看所以才有插管上去，因此由此推測病患可能也不想要做氣切來維持呼吸，雖然家屬也知道這件事情，可是卻一直無法下決定，並且感覺得出來家屬是想要病患做氣切的。,3.875,4.625
T0028,雖然一開始在溝通不順時，我自己有感受到如果我是要解釋的醫師，會感到很煩躁及挫折，不過後來團隊花時間了解家屬的想法後，我也了解到其實奶奶家人們的想法很簡單，因為感情太深，所以一方面捨不得放手，一方面又不忍奶奶受苦 ，如此矛盾的兩種情緒在糾結 ，如果是我自己的家人這樣，應該也是會有如此的情緒吧，當這樣想後我也較能同理了，也學習到了解病患或家屬們提出的每個問題或是要求背後都有原因，深入去了解才能夠同理，也能夠考量他們的想法提出適合病患的治療選項 ，讓家屬感受到醫療團隊是有溫度且與他們是站在同一陣線的 ，早期告知壞消息並理解家屬立場、給予時間討論與思考，不但能夠給團隊較為明確的治療方向， 在醫病溝通上也較能立場一致， 避免為病患帶來多餘的痛苦或無效醫療。,5.6,4.9
T0029,後來，給他們家屬充分與奶奶相處，會客時間過後，經過耐心詢問，原來是奶奶個性愛美愛打扮，因此家屬認為電擊會帶來外觀上的損傷，讓奶奶痛苦，了解家屬心疼奶奶的背後原因後，醫療團隊便解釋，其實壓胸對於病人也是很痛苦的過程，可能會有肋骨的斷裂，甚至會造成氣胸、血胸，雖然我們的療程會有止痛的部分，但是還是一個侵入性高、且會造成病人不舒服的過程雖然奶奶現在還是在急性期，不過也不需要馬上做這個決定，可以家人們討論後再告訴團隊。,3.75,4.25
T0030,隔天是老奶奶女兒前來會客，會客時間要解釋病情時已能感受到女兒情緒不佳只想把握時間待在奶奶身邊，很難做有效的病情解釋，當 team 學長再次詢問有關急救事項，女兒也是回答不電擊其他都要， 並且在言談中一直強調奶奶是個生命力很強的人，一定可以度過這波困境，當下我感覺有點難過也感到很煩惱， 他們家人對奶奶的深厚感情很讓人動容，不過對於態度及立場如此明確的家屬 ，感覺要讓他們接受奶奶的狀態是很難的一件事情。,3.625,5.25
T0031,一位老奶奶因為在家裡突然 OCHA CPR 後 ROSC ，緊急插管後收入MICU做觀察與治療， 前來的家屬只有一位外傭與年邁的老先生 ，其他的家屬都在台北，無法馬上前來 ，值班醫師在解釋病情時，感覺起來老先生與外傭並無法了解， 只是一直重複著奶奶下午還可以唱歌，所以女兒才剛離開高雄回台北，而因為病人情況危急，因此值班醫師也詢問關於急救的意願，老先生一聽到電擊就強烈要求說不行，壓胸和插管可以，雖然值班醫師一再解釋，很難不電擊而純壓胸 ，但是還是無法成功讓老先生了解，當下我感到無奈為難，也替學長感到焦急，因為了解值班醫師已經用盡各種方式解釋，但是還是無法成功讓老先生理解，而老奶奶的狀況也不穩定，萬一半夜需要急救的話也 不知道要怎麼辦，後面也還有新病人要來，有時間上的壓力。,3.375,4.6
T0032,醫療團隊提供給家屬過去在加護病房的經驗，我可以感受到不管是醫療團隊、老奶奶或是家屬都盡力了，而大家都希望老奶奶是在順其自然且沒有病痛的情況下離開，這個決定沒有好與壞也沒有對與錯，站在家屬的角度老奶奶可以有尊嚴的離開，我站在他們的角度雖然也是心疼，但我也會支持這樣的決定。,4.25,3.75
T0033,這個家庭會議，我很心酸，同時也能感受到女兒的無助，這一切都來得太突然，從老奶奶倒下到決定走安寧路線的時間，醫療團隊在每天的會客時間都有告知老奶奶的情況和可能的預後，也算是提前給予整個家族時間，聚集在這次的家庭會議。,3.875,4.7
T0034,家庭會議的最後決定不氣切，決定呼吸訓練並且訓練失敗也不再進行氣管導管置放。,4.7,2.9
T0035,講著講著又是潸然淚下。,3.125,5.9
T0036,這句話雖然對於外圍的人來說很小聲，但我卻聽得非常清楚，因為女兒非常堅定不要氣切這個選項，而這個理由背後的原因在前幾天的會客時間她有向我們醫療團隊交代，十年前的中風就是因為有氣切過，所以女兒非常能夠理解老奶奶從氣切後到可以唱歌這段復健過程的辛苦，而且女兒說到這裡更是振奮的說：「十年前她的體力真的非常好！為了恢復說話的功能，真的非常努力」，然而講到現在的狀況就是話鋒一轉：「現在這樣的狀況即使氣切都不知道能不能恢復，我真的不想要她承受這樣的痛苦...」,3.375,7.0
T0037,主治醫師陸續提出包含氣切和呼吸訓練的選項後，女兒非常果斷地講出：「我們不要氣切！」,4.5,6.5
T0038,那個畫面看得我心裡好難過，因為今天這個家庭會議對於老奶奶的後續將是重大決定，女兒的不捨全部寫在臉上。,3.2,6.25
T0039,家庭會議當天，家屬包含丈夫、女兒、兒子和女婿都出席了，主治醫師開口的霎那，我就看到女兒已經哽咽的看著床上的老奶奶，並且眼淚開始留下。,3.625,5.5
T0040,隨著時間一天一天的過去，老奶奶對於外在刺激的反應都非常不好，也預告了預後正在往不好的方向走，因此在第五天主治醫師召開家庭會議，要討論後續的治療計畫。,4.0,3.375
T0041,到院前的心肺復甦術 (CPR)長達8分鐘，血壓心跳雖然有回來，但是卻無法恢復意識，緊急抽血的結果懷疑是一個急性感染造成的敗血性休克，因此後續被收入我們內科加護病房進行後續的治療與照顧。,4.375,4.0
T0042,結果晚上突然的，老奶奶呼吸困難並且失去意識長達30分鐘，因此被緊急送來我們急診。,3.875,6.375
T0043,根據女兒的說法，入院前的白天老奶奶還可以興高采烈的在家唱著卡拉OK，與OHCA這個詞根本無法做聯想。,4.0,4.8
T0044,一位80歲的鄒姓老奶奶因院前心跳停止(OHCA)而緊急被送到高醫急診，老奶奶到急診前是一個長期臥床且有放置鼻胃管的病人，主要是在10年前的一次中大腦動脈阻塞導致左側偏癱的中風。,4.1,4.0
T0045,也是經由這兩週的學習讓我的心境從「悲傷與痛苦」的面對死亡轉向「解脫苦痛、樂觀面對死亡」的人生態度。,6.125,5.0
T0046,甚至可以適時的緩和家屬情請專業的社工、安寧共照團隊、宗教人員進行介入幫忙。,6.0,3.25
T0047,盡力的幫助病人與家屬走過。,5.625,3.6
T0048,陪著他們從：不能接受->面對->接受的過程。,5.375,3.125
T0049,我想我未來若有幸能走重症領域時能做的事是在每次的醫病溝通過程能夠態度謙卑謙卑再謙卑且不疾不徐、溫暖的解釋病情。,6.4,4.3
T0050,在處理這樣的個案時只能盡量同理家屬的心情，但非其至親的我們卻也不能完全體會這樣的痛苦心境。,4.0,3.6
T0051,整個醫療團隊在面對病人情況變差的時候也盡力救治病患，即使無法逆轉他的病情，卻也是盡力讓病患能夠覺得舒適。,6.0,4.5
T0052,在每天的壞消息的告知中，我同時也在準備著面臨自己的primary care走向人生的終點，也對自己的內心建設好面對「死亡」的心態。,3.25,3.5
T0053,在整個照顧病人的過程發現家屬也是理性的可以接受這樣的過程與結果。,5.5,2.125
T0054,覺得震驚的原因是因為初面對一個生命的盡頭時都會覺得相當得震撼與顫抖。,3.5,7.125
T0055,我當下感受到相當不捨與震驚。,3.9,5.125
T0056,家屬也從原先期待能夠度過難關的喜悅轉向討論後續的臨終處理。,4.25,3.8
T0057,在住院治療後因為情況惡化被轉入內科加護病房進行後續治療與觀察。,4.125,3.4
T0058,因此在來院急診時因為懷疑是體液失衡與代謝性酸中毒被收入院。,4.5,2.25
T0059,但他本身是否認有發燒、有痰、胸悶胸痛、噁心想吐、腹瀉與多尿的情況。,3.875,5.0
T0060,除了呼吸困難以外，病人亦陳述最近陣發性夜間呼吸困難與全身虛弱的狀況。,4.2,3.25
T0061,這次主要是因為持續性的呼吸困難而入院。,4.875,2.1
T0062,一位72歲的男性本身心臟衰竭、高血壓、慢性腎病：第 5 期伴有腎囊腫、糖尿病前期、血脂異常、B型肝炎帶原者、缺鐵性貧血、痛風、胃炎、十二指腸潰瘍病史，於2022/2/10剛出院，原因是痛風發作、呼吸衰竭、肺水腫相關、急性失代償性心力衰竭、慢性腎病急性發作、敗血症社區性肺炎相關。,4.1,3.4
T0063,因此後續主要是引導家屬，釐清他們的共識為何，並且如何接受抉擇所帶來的影響，可以邀請社工介入，或再一次家屬會議討論和解答疑問。,4.7,2.0
T0064,後來家屬是覺得為了保命那截肢也是必要，但他們也認識自己的爸爸/老公，若身體不完全，他的爸爸/老公肯定不想要，即使截肢若保留到膝蓋以下，裝義肢他也是不會復健的類型，因此他們其實不是刻意想質疑好像少了一步醫療處置，要不然早就在前幾次會客就問了，反而是現在不知道要以活命為重，還是病人自己的意願，只好檢討無法改變的過去，當然整外醫師有補充說明原因，因病人血流很差清創也沒有療效，若當時是他來照顧這個病人，也是差不多的處置。,4.125,4.7
T0065,你可以怎麼做?然而後來更近一步沈澱會發現我的思考主要在想怎麼保護自己和同業、避免醫糾，這也是重要，好的溝通能讓醫病關係是互相信任的，然而正是因為是「關係」，只有想著保護自己是不夠的，也要思考家屬對於截肢這個處置怎麼想？,5.375,5.25
T0066,當下思考都導向課堂上講的各種醫糾案例，而醫療是個團隊，雖然不清楚前一個醫師究竟怎麼說的，但主要在思考怎麼解釋讓家屬接受。,4.8,3.4
T0067,為何會有這樣緊張感，是因為若我是那個解釋的整外醫師，有太多未知不是自己經手的，要怎麼回答安撫病人呢？,4.5,3.5
T0068,當下在旁邊聽到的我情緒是緊張的，因為家屬的語氣是一種質疑的氛圍，而家屬口中的醫師應已是上個月團隊的醫師，也不知道實際狀況為何。,4.0,6.125
T0069,我的情緒為何？為何有這種感覺？,4.25,4.1
T0070,一位72歲的男性，因right leg PAOD with cellulitis入院排PTA，PTA後來顯示右腿嚴重瀰漫性血管狹窄，前一次入住CCU時，病情解釋說可能會考慮wound debridement或截肢，照會整外進行評估，而這次由一般病房因胸痛又轉入CCU時，整外來評估後建議截肢到膝蓋以上，整外醫師和家屬解釋後，家屬了解截肢的必要性，提出了一個疑問：先前在排完PTA後，有醫師說可以再考慮清創，但後來一直都沒有人進一步做解釋，搞到現在要截肢？,3.8,5.6
T0071,未來我們仍然得面對這種生離死別如何充分說明病情並同理病人及家屬的感受，是相當重要的課題。,6.125,3.375
T0072,若家屬仍無法走出悲痛情緒，可適時請心理師或社工幫忙。,3.5,2.875
T0073,這時，我們也許不必反覆解釋而是口頭上答應他的請求，對家屬的決定予以尊重並告知我們會視病人的情況調整水份，讓他知道我們團隊已是盡心盡力在幫病人度過難關 希望家屬調適好心情。,5.2,3.5
T0074,然而除了醫學觀點之外我們並不知道這位病人對家屬有多麼的重要，他們也許約定好要一起做什麼事也許白頭偕老至今還有很多感謝沒有跟對方說，在這種情況下，我們必須站在家屬的角度想一想他唯一的希望就是想讓病人醒過來，他們沒有多餘的心力去了解治療的利弊只要僅存一絲希望，就救到底吧。,5.0,5.5
T0075,因此我當下的反應也是想用醫學觀念說明這些，試圖讓家屬認清事實別讓病人臨終時這麼辛苦 。,4.6,3.0
T0076,作為實習醫學生，我當下的感受是家屬到網路上搜尋來路不明的偏方，並要求我們嘗試有點不尊重醫療的專業甚至這個病人已經走向腎衰竭，過多的水分只會讓病人身體越來越腫，最後走向死亡的樣貌反而更加不堪。,3.8,5.25
T0077,主治醫師及住院醫師向家屬說明這種療法的可行性以及可能的產生的傷害後，家屬仍堅持一定要嘗試。,4.125,5.5
T0078,這兩週在內科加護病房有一位臨終病人在嘗試各種治療後均無法逆轉病情主治醫師宣告病人即將往生但家屬相當難過無法接受，堅持救到底希望能給病人一線生機，甚至要求醫療團隊嘗試灌食熱水等缺乏醫學實證的治療方法。,3.8,4.25
T0079,設想如果是自己的親人，在還有積極手段可選的情況下可能也沒有辦法這麼乾脆的放棄。,4.125,4.1
T0080,我可以怎麼做1.嘗試了解家屬情緒。,5.0,2.7
T0081,我的反應: 我心裡支持阿嬤自己的決定，跟她說兒子女兒們也需要溝通、傳遞消息的時間請她先放心等待，相信他們絕對不會不顧她的想法，女兒下午來時再好好相談 。,5.875,3.125
T0082,總覺得病人年事已高也兒孫滿堂無太多牽掛，且當下意識完全清楚，應有權利替自己選擇更有尊嚴的生活方式無須為了晚輩妥協。,5.25,4.0
T0083,我的感受:當下我為病人感到遺憾不能理解家屬的堅持。,4.0,3.5
T0084,但後續不幸出現院內感染肺炎且症狀在非侵入性治療下無明顯改善必須考慮再插管但這次阿嬤堅定拒絕，相反地家屬則希望積極處理。,4.2,3.2
T0085,描述事件: 阿嬤 GI bleeding 剛入MICU時已因失去意識on過endo控制得當後順利拔管。,5.625,4.875
T0086,再來是要加強溝通的技巧，設身處地的講解自己的想法，適時地安撫聽者的情緒，給出自己的經驗以及不誇大程度的承諾等等，這些都可以緩和溝通時的氣氛並且讓病患及家屬更相信這位醫師。,6.2,3.0
T0087,確實，如果當下決定和家屬硬碰硬，結果肯定是不好的，或許隔天查房會越演越烈、或許會被病人投訴、又或許自己會被病人以及周遭冠上「脾氣差」或是「對病人差」的標籤，這都不是我們樂見的。,4.0,3.75
T0088,但是主治醫師給了我們很好的示範，查完房後也和我們講了一下這個狀況，保持心平氣和，病患以及家屬或許是擔心、緊張才惡言相向，不要把他們的每一句話都印在心裡，我們要做的是正確的給出自己的醫療決定，和他們良善的溝通做share decision making。,5.5,3.25
T0089,換做是我，我可能口氣會直接變得很差，講話也會變得要聽不聽隨便你，甚至講幾句話就走了。,3.75,5.375
T0090,一開始遇到這種情況，我的心情是感到憤怒，周遭護理人員也一樣，他們會跟主治醫師抱怨病患家屬難搞。,3.0,6.75
T0091,最後，醫師讓這位先生先靜下來看看CCU四周的環境，解釋在這種環境下病人根本無法好好休息，而且心理壓力會很大，醫院並不會因為轉到普通病房而疏於照顧，整體下來以醫師的觀點認為轉病房會是比較好的選擇，那位先生雖然帶點無奈但是也是接受了這個說法。,4.3,4.1
T0092,醫師向他解釋打抗生素控制這件事在普通病房和加護病房其實是沒有差別的，這時這位先生開始說一開始感染肯定是醫院方有疏失，不過醫師只給予微笑回應。,4.25,3.5
T0093,每天11:30 CCU會客，病患的丈夫都會來看她，這位先生從見到醫師開始就強調自己有中醫資格，覺得CCU的環境不夠好，並且講話口氣不佳，聽到醫師要把病患轉到普通病房時，他開始質疑醫師的決定，認為妻子身體已經不好了，如果再到普通病房(這位先生說是「菜市場一樣的地方」)會加重病情。,3.2,6.0
T0094,這是在跟著主治醫師會客查房時發生的事，病人是一位老阿嬤，這次因為MI入院做心導管，住院期間發生Sepsis，懷疑源頭是pneumonia，由於心血管方面的問題已經穩定下來，準備轉入普通病房控制感染。,4.2,2.5
T0095,但另一方面也要考量到也許當下病人意識狀況本來就不是非常穩定，去思考病人突然躁動的背後可能原因也很重要。,4.6,3.0
T0096,你可以怎麼做:後來在老師與家屬交談的時候有提到，等病人狀況穩定一點可以讓病人用手寫的方式來溝通，當下有種豁然開朗的感覺，因為病人當下非常想要用口語表達讓我也陷入溝通只能靠交談的思維陷阱裡了。,4.625,4.0
T0097,你的感受為何:當下其實蠻尷尬也蠻緊張的，因為一時間不知道如何安撫其情緒，又想要試著去理解病人想表達什麼你的反應為: 試著從頭到腳確認病人具體是想要表達哪裡不舒服，但病人都逐一否認，無果後只能安撫病人會客時間快到了，等等可以再請家屬轉達，病人也因此平靜下來。,3.875,5.625
T0098,因此病人無法說話，所以後續每日照護接觸病人時，都是以yes-no問句來粗略確認病人的subjective，但有一次在例行PE及詢問後很直覺地問他說「有沒有其他不舒服的地方？」，患者因此很激動地想要表達些什麼（但因為插管只能發出一些含糊的聲音）。,4.25,3.5
T0099,描述事件: 一位58歲男性因胸悶胸痛喘入院，診斷為NSTEMI，住院期間一度IHCA，ACLS後救回，接觸到這個病人時已經情況穩定，但有解大量血便的症狀，意識轉醒但仍插著氣管內管。,4.625,2.375
T0100,在這兩周的學習過後，未來在臨床場域中，我會願意多用一些時間理解病患與家屬的感受，希望能在未來成長為有能力醫病與醫心的醫師。,7.125,4.2
T0101,他願意與我分享他的想法，也願意忍受我每天做幫他做一堆身體檢查(練習)卻說不出個所以然。,5.3,4.3
T0102,反思之後，我感謝陳先生讓我在這兩周有機會向他本人與他的疾病學習。,6.25,4.4
T0103,我才發現我先入為主的觀念差點讓我誤會了病人。,4.25,3.5
T0104,因此他將「醫療處置使他的恢復過程感到舒服」歸納為本醫院的「服務」。,5.0,1.875
T0105,在後續的聊天中我才發現，陳先生對我們醫院的治療也十分滿意，但是由於他不懂醫療處置的細節且大部分醫療決策都是由他的親人決定。,5.3,3.125
T0106,我的反應是，先向陳先生道謝，再解釋加護病房的運作規則且我們醫院是提供治療的地方，陳先生的病況好轉才是我們最重視的。,5.625,3.5
T0107,陳先生的話語雖是誇獎，卻讓我有些反感。,3.6,4.25
T0108,主治醫師或所有醫療人員可以隨傳隨到是因為陳先生是病危病患，而不是我們醫院服務周到。,4.5,3.5
T0109,當下我的心情很複雜，原因是CCU是提供專業治療而非服務的地方。,3.4,4.6
T0110,在每天看病患的學習過程中，最令我印象深刻的是在某天下午與陳先生的閒聊中，他說：「我覺得你們醫院的服務真的很好，高雄的其他醫院的服務都沒有你們這裡好。」,6.75,5.0
T0111,雖然如此，這位病患仍安裝了心臟支架並用TVP穩定其心律與周邊器官灌流，留在CCU持續觀察。,5.0,1.375
T0112,"在CCU的primary care陳先生是一位STEMI的病患，胸痛了5天才來到醫院急診，由於早已經過治療的黃金時間，導致他的心臟出現許多併發症，如3’degree AV block, bradycardia…等。",4.125,4.0
T0113,否則若病人及家屬尚無病危實感，很可能因過度樂觀而做出錯誤判斷，甚至在後續埋下醫療糾紛的種子。,4.2,5.625
T0114,在確定病人及家屬都知道目前情況及繼續治療的風險後，在繼續談後續的處置。,5.0,3.0
T0115,3.告知若遇腸壞死需緊急開刀，病人的預後可能很差或甚至有可能直接死在手術台上。,3.75,4.0
T0116,2.敘述目前的輸血情況，每天要輸幾包，並告知輸血時會產生的併發症。,5.0,2.125
T0117,四、可以怎麼做1.由較為平易的形容方式來體現病人情況的嚴重度，如：「他每次拉出血的時候，用來擦乾淨的紙巾與尿布幾乎可以塞滿床邊的小垃圾桶。」及「他現在的出血點不是一個大洞，而是好幾個不同位置的小洞，我們很難全部塞住。」,4.7,4.75
T0118,當下我想讓家屬及病人知曉目前的確切情況，同時也不想讓家屬誤以為我們不願意救治，而是事情的嚴重程度真的已經不容樂觀。,3.625,5.2
T0119,三、反應為何我理解家屬的感受，畢竟在會客時間時，病人有精神的樣貌實在是很難讓家屬產生「病危」的實感，而所謂的血液檢查數字在未經訓練的人眼中，也很難呈現出問題的嚴重度。,4.0,3.8
T0120,但同時我也常常看到他解血便時，那鮮血幾乎要流滿床鋪的樣子，實在是很難想像他瘦弱的身軀中，究竟還剩多少血液能讓他像這樣流出來……,3.25,5.0
T0121,病人的意識狀況在整個MICU來看都是十分精神的，晚上甚至常常能聽到他用有力的聲音呼喚護理師。,6.0,3.6
T0122,二、感受為何我當下的感受也如家屬一般，是十分詫異甚至難以接受的。,3.375,5.2
T0123,由於其意識狀況，家屬很難接受病人其實已經處於難以治療的狀況，出血點的不確定，導致無法對特定血管進行有效栓塞，而栓塞的血管過多，將有很大的機率造成病人常到缺血壞死，而依病人目前的情況來看，若要進行緊急手術，其危險性相當高。,3.75,5.5
T0124,一、描述事件一位病人因應腦膜下出血入院，經治療後原本預計出院，卻出現嚴重消化道出血而轉入MICU。,4.25,2.75
T0125,我相信未來不論是走哪一科，維持這樣的態度及培養完善的醫病間的關係及互動，才能創造雙贏，並且給予病人及家屬最大的幫助。,6.375,5.3
T0126,總的來說，透過這次加護病房學習，除了加護病房相關的醫學知識 (例如呼吸器等等)，每天看到病人進進出出，我認為最重要以及收穫最多的就是與病人家屬的溝通及信任感的建立，不論積極治療，要不要氣切，或是安寧的選擇，這些都必須建立在良好的醫病溝通之上。,5.9,4.5
T0127,而也像老師說的，我們都在學習如何救人，但很少人教我們什麼時候放手，這次我另一個深刻學習的點就是安寧的介入，我認為現在的年代大多數的家屬對於安寧的觀念逐漸接受，很多病人一進來就很果斷地回答我不要插管或是不要壓胸電擊，但隨著治療過程中的病程評估，盡全力醫治當然是醫師的本分，但對於病人感受的評估，以及家屬情緒上的安撫平復，更是需要長時間學習的課題。,4.375,4.0
T0128,透過這次加護病房的學習，不只我的primary care，我認為最重要的就是跟家屬建立良好的關係，並且完善的溝通! 例如每天跟病人家屬解釋病情變化，而當病情有重要的改變的時候，我們必須坦然面對，然後提顯給予家屬建議，包含未來的治療方式的選項，並適時請其他團隊 (例如安寧團隊)的介入，給家屬們多一點選項，也給他們多一點時間可以面對。,6.0,3.5
T0129,就如同老師說的，加護病房的病人病情變化實在很多，尤其呼吸器也像是雙面刃，可以給病人解決氧合問題，但久了卻可能讓他造成第二波院內感染，而解決這一且最好的方式，就是跟家屬好好說明這一切!,4.8,4.6
T0130,感覺原本都好好的，然後一住院就被插管然後一直處於睡覺的狀態，前幾天醫師還說發炎指數有改善，有在慢慢下調呼吸器，結果過個周末又說惡化......。,3.5,4.8
T0131,這次的primary care是一位underlying是lung cancer stage 4 的病人，這次因為喘而來就診，住院過程發生ARDS然後進而進加護病房插管治療，當我接到這位病人的時候她剛插完管，原本病人很抗拒插管，而且原本還是ADL independent，然後這次來到加護病房後就因為氧合不好或是血壓不穩而讓我們一直用full sedation的方式治療希望解決ARDS的問題。,4.5,3.375
T0132,大原則即是換為思考以及同理心的應對，在這樣正向的心態之下，雖然很多事情沒辦法完美的獲得全方面的解決，但是終究可以提出適當的解決方案，促使整體醫療工作順利進行。,6.125,3.9
